PMID	CIMA_INDEX
32838149	2
32321650	1
33022586	1
33283779	1
31837636	1
32361479	4
31287406	1
30733696	2
32301427	5
31343501	1
30867274	1
31865757	1
32587633	3
32513039	2
33399416	1
29777524	1
32487792	1
30249932	1
29125019	1
31355324	1
31542068	1
30850445	1
30043658	5
30873947	2
33414927	4
32014810	1
31683229	1
32145004	1
32271444	1
32793100	1
30259809	
32329362	
30230638	
31525612	
31414141	
31065973	
32894170	
32962269	
31218077	
30756282	
30627688	
33259243	1
30500565	
32698861	
31603904	
33255552	
31110049	
33165231	
32488676	
31570576	
32732968	
33354640	
31214001	
31019516	
31496362	
30795741	
32029369	
33006604	
32733709	
33117120	
32925119	2
31072329	
31592692	
29650331	2
33246492	
31823819	
31181327	
31497013	
33356643	
32846775	
32199086	2
30733631	
32053878	
30887862	4
30553438	
30125511	
32388646	2
31075421	
31700746	
32436171	
32972341	
31823881	
31237815	
30389778	2
31016480	
32628889	
32790973	
32903002	
31665376	
32379333	
31565644	
31737644	2
31058279	
33064749	
31978439	3
31164658	
30673676	
31185140	
31161229	
31371976	
30411534	
32999069	
32629865	
31559532	
33132996	
30895941	
32085743	
30801223	
31993230	
31112527	
33046051	
32890815	
32890817	
32890816	
31520869	4
31293564	
32076404	
32446303	
30604567	
30351240	
33374217	
30802755	
33363165	
33281710	
30909732	
32376155	
32781067	1
30822187	
32993105	
31418931	
31864192	
31213295	
32994151	
32026599	
31949442	
30703369	
30242503	
31677881	
31215192	
31477333	
30191380	
31943361	
31992966	
31007230	
31007231	
31806723	
31392924	2
31392923	
31695234	
30527815	
31226803	2
32721897	1
30448470	1
32681455	2
32317246	
31940638	
30724883	
31220564	
31866485	
32430643	
33681796	
30997333	
28917696	2
33277362	
32804701	
31984137	
31861282	
33266211	
31477883	
31625698	
30230400	
32162850	
30963634	
32295564	
31049040	
31541980	3
31722282	
32128702	
30800132	
30568993	
30568994	
32549343	
33329540	
30720557	
33117125	
31492481	
32282702	
31835664	
32179482	
32179483	
32179484	
32849175	
32388861	
31937331	
32498223	
31221416	
31555262	2
32212009	
33226087	
31840182	
31772108	
33343562	
30877732	
32898371	
31471385	1
31264832	
32284138	
30417928	
31267472	
31099113	
32006158	
30683426	
31659482	
32631519	
30779222	
31536435	4
33201361	
30908981	
31157574	
32597850	
29027843	
30986646	
33134918	2
30669012	
31736554	
32202173	
33103867	
33103868	
31709732	
31665230	
31846493	2
31198103	
30299167	
32715111	
31056796	
31655825	
33061471	
31182869	
31443776	
31443774	
31050569	
31315512	
33030138	3
33205682	
32905999	
31859676	
31987040	
33240725	
32334956	1
33339530	
31051217	
33171772	1
32286236	
31193973	
32325782	2
31369712	
32289575	1
32617031	
31353999	
32894504	
32024544	1
33084529	3
31303427	2
33281696	
31811986	2
31965607	
32146431	1
32146430	
31577933	
31100354	3
30140937	
33318987	
32335359	
33074796	
30896576	
30896571	
32335779	4
31844328	
30239142	
32765149	
30837646	
30656182	
32356353	
31529689	2
31862607	
33302404	
31247254	
30684217	
32116584	1
32640490	
29249014	
31898280	2
32852530	
32534508	
32463200	
33196982	
30463091	
32931810	
30715195	5
32349768	
32887304	
30891330	
32222525	
30059291	
31173847	
33174081	
32534123	
30342799	
31456464	
31729981	
31174092	
31683230	
31798939	
31891710	
29535371	
32528964	3
30925320	
31205741	
32238263	
31132136	
31242590	
32250329	1
31871598	
32420701	
32316658	
31001286	
32014828	
33101268	
32089782	
33007647	
32183811	
33007648	
31322605	
31872816	
31373677	3
32317002	
30680713	
33379309	2
33488361	
33381316	
31950335	
31729168	2
30830572	
32563262	
33384891	
32001112	
30404023	
32982930	
32982934	1
31401425	
32785794	
33271848	
30986255	
32789026	
32924828	
32924823	
30918303	
31195338	
31195337	4
33304088	
32458309	
32458308	
31376423	
31471462	
31583163	
31996225	
30488754	
31781124	
32736215	
30903229	
30859004	
30859003	
30859008	
31864098	4
32724981	
32353362	
30362206	
31680858	
32617658	2
30113249	
30113245	
32599467	
31593104	
32599469	
32958009	
31444094	
32184863	
32447250	
33045841	
29877000	
31703746	
30952796	
31088339	1
30366276	
31497863	
31497861	
31497864	
31518774	
31518773	
31859000	
30615021	
29876751	
31158514	
31485350	
30954651	
30719730	3
32634812	
31919582	1
31726355	
31341075	
30719080	
30800416	
30800417	
30800415	
31430413	
31217069	
31732567	
30582321	
33329357	
31723456	
31615943	
33123380	
32619894	
32840405	2
32840408	
33328971	
30463473	
31081484	
31867224	
31031699	
32678481	
30953297	
31916030	
30804885	
32211244	
31687878	
31005729	
30677078	
31750024	
31750023	
30953833	3
33151636	
33336007	
33390965	
32017315	
31172218	
31138656	2
31001715	1
32435405	2
31228713	
32706198	
31695678	
31805761	
31428547	
31831183	
30565754	
32353617	
29774770	
31666809	
30565288	
31232771	
30782116	2
30665738	
31444659	
32656035	
31468176	
32335165	
32718720	
30077395	
31610404	3
30073487	
33897799	
31819415	
31906749	
32021237	
31848738	
31773358	2
33247831	
32245308	
30886617	
31244898	
32038605	
32861242	
30575234	
31295847	
33088444	
32823148	1
32695066	
31954378	
31785300	
32477850	
32890673	
32792491	
31733367	
30779715	
31888012	
31364059	
32008573	
32244496	
30376533	
30688203	
32023490	
32752175	
31733941	
31018109	
30967783	
32305688	
32487716	
31631484	
31412310	
29707845	
32179485	
32806490	
32072373	
33532152	
31352181	
31352180	1
30122129	
33078092	
33414700	1
33300840	
32719717	
32853219	
32472007	
32901588	
32973658	
30543921	
32385758	
31357124	
33240397	
31357122	
30663608	
30663609	3
33181692	
31692763	
32165170	
32296749	
30692211	
32534154	
30898488	1
32342475	
30879475	
29261068	
31120393	
32655371	
30852548	
32163639	
31276913	
31276912	
31259250	
32605107	
32772264	4
31855842	
31855843	
31764226	
31598329	2
32823460	
32725489	
33013859	
33218499	1
33054803	
31832974	
31727077	
31032846	
32109166	
31849554	
31581104	
32682138	
31743848	3
32555516	1
31822261	1
31615022	
30846120	3
31014906	
32780728	
31035004	2
32920791	
30694187	
33299133	
32662748	3
30482463	
32662742	
31783688	2
31796702	
32065930	
32927305	
32927306	
30342416	
31040362	
32700311	
33147591	
31604353	
33159711	
33132999	
32552353	2
28457198	
31191179	
31191178	
30389631	
31191175	
31191174	
31191177	
31191176	
30132396	
30964061	
33158440	
30470273	
32586697	
30809050	
33030201	
31432354	
32089836	
31976636	
30485572	
30887124	1
32534098	
31023379	
32304983	
31056714	
33147889	1
33281717	
32712158	
31881468	
30832289	
30986029	
30785073	
30785074	
30785075	
32166703	
30361954	
30635946	
31727215	
33183848	
32650123	
32324706	2
32324705	
32324704	1
32650125	
32650124	
31636637	
32655578	3
32799563	
31817502	
32799564	
31727219	
31657262	
30226108	
32399696	2
32249647	
31038798	
31918065	
31250246	
33187031	
31958214	
30899262	
32743503	
31811900	
33126239	
33181729	
30544079	
33070876	
31979305	
32419416	
31131415	
32063881	
32238329	
32529580	
32529581	
33255923	
31399729	
32950904	
30915674	
33395989	
31089100	
31281342	2
31301748	
31301744	
32266160	
32196981	
30552979	
31726662	
32804624	
32796717	
33425014	
32914780	
31993101	
32359352	
31693024	
32800282	
31542710	
31120212	
31725815	
28764938	2
30994035	
31037121	
33110673	
31439491	
31517556	
31421744	
31549947	1
31549941	1
31724770	
30598166	
32207050	
31233844	
30456721	
32116263	
31465761	
33709887	
31533224	
33225410	
33344700	
32425869	1
31900702	
30663610	
32066098	
31472128	
31470787	
30701337	
31501610	2
30965275	
30977955	
32045356	
29629601	
31316694	
31093980	3
32983951	
31949182	
32305012	
30679747	
32741581	
32827097	
31805290	
32320409	1
31299845	
30984164	
32320404	
30984162	
33335477	
32781395	
33335478	2
32284359	
32284356	
30570436	
31208265	
32585777	
32722245	
32143223	
33034797	
29788868	
31485025	
30833871	
30940453	
31595721	
30267726	
32140045	
32468116	
30580038	1
30936568	1
31558790	3
31094873	
32844626	
31844089	
31454809	
32246942	
31150900	
30800720	
30809137	3
31743256	
31395569	
31103252	
33348803	
32926951	
32930074	
33253391	
30622053	
32197627	
33408660	
30575890	
32243032	
31668127	5
31668125	
32140867	2
32140864	2
32014556	
30523074	
32681214	
31903908	
32303566	
33043560	2
30923284	
29983199	
29983198	
30689523	
32197530	4
30337192	5
32888729	
32846199	
32407951	
30476873	
30476872	
31733036	
32122815	
32428757	
30411550	
33007856	
31418091	
31035510	
32110715	
32211826	
31158013	
32226427	2
31036560	
31168760	2
32097512	
31299971	
31755637	
30609242	
31093475	
31930470	
30724464	
31888912	
33053328	
32496854	
32163190	2
31678857	
31678858	
31678859	4
32988630	
29984647	
32675142	
31183535	
30498877	
31463682	
33113872	
31838998	
31148467	1
31324406	
32462652	
32622298	
32622299	
32653588	
31845845	
32622297	
32372631	
29160739	
31555463	2
31637711	
31689925	
30136890	
30136895	
32085570	
32707986	
32645635	
30606726	
30707622	
31248979	
32016308	
33202927	
31256370	
30806965	
30843138	
31564474	
33287177	
31289223	
32412678	1
30669146	
31769115	
31536728	1
32132996	1
32370112	
31436377	
31785606	
32660745	
33045916	2
31703029	
33061279	
31144287	
32917089	
33214945	
31961459	
32338098	
32947812	
33033776	
32209162	
32719138	
32445443	
33175126	
31141529	
31312957	3
31312958	
32808153	1
31817216	
32055804	2
30787438	
29512427	
32709701	
33177186	
31527135	
31181776	2
30760643	2
30967624	
30760645	
32192808	
32149713	
31720861	
31720862	
31497193	
30851709	
29064346	
31560378	9
32065429	
31254928	
31684026	
30961586	
31519302	
30088450	
33139781	1
31551258	
33177955	
31824807	
31746242	
30476919	
33023219	
32736746	
32570465	
31670008	
33469444	
31084243	
30009872	
31302502	
33177974	
32380685	
31016368	
31870154	
32359844	2
31718961	
32156881	
32662043	
32589590	1
32969582	
32265430	
30256716	
29911446	
32199199	
30399422	
30408516	
32036262	
30568995	
30980487	
32932423	
31347448	1
31543260	
31543261	
31507517	
31507519	4
33841545	
32371550	
32835119	
32950644	
31842679	
32400258	
30931272	
32175837	2
31351784	
31627017	
33374429	
32201280	
31258540	
33659557	
31133968	
30959072	
31749316	
33150802	
33142850	
30853896	1
31644905	
29119926	
32373047	
31921102	
31522431	
32413799	
31313885	1
29663869	
31316455	
33029091	
33045894	
32826068	
31778849	
31762132	
30769934	
31277032	
33459548	
31252364	
31413164	
31605598	
31109729	
31845621	
32839302	
32839304	
31944180	
33003404	
32954379	
31812544	
32568977	
31566686	
32737072	
32244037	
31494834	
33564395	
30894445	
30894447	
30894442	
31910417	
33283039	
32432792	1
30243994	
31981931	
30711432	
30654246	
33138057	2
32750612	
30592992	
31682184	
31355310	
31355314	
31355319	
31355318	
30885428	
31342810	
31407400	
29392518	3
32809098	
32193273	
31753154	
31753151	
31493189	
33117327	
32893070	
32723803	
30269001	
29890263	
33283780	
30967304	
31419976	
32463779	
33045664	
30453024	
33584409	
32460145	
32582802	
30640576	1
32354749	
32303856	1
32892382	
31533339	1
32584676	
32220817	
32259071	
32337418	
33255513	
32759073	
30674600	
32199461	
33375365	
32552363	
30761870	
31838739	
33331468	
31129392	
33027785	
32161909	
30844611	
31620119	
32673563	
32560041	
32515531	
31237780	1
31177245	
32715056	
31376307	
30775873	
32313246	
30925518	
28633609	
32463329	2
31207467	5
31151870	
31096621	
31933293	
33101459	
30136146	
31685456	
31679353	
31680631	
31504969	
30984295	
32285484	
32285483	
30403321	
30070595	
30070597	2
31677540	
31057561	
31620963	
31927614	
31927617	
31819703	
31882922	
32021529	
31212763	
32792656	
30949781	1
29916300	
31713009	
32028123	
33033051	
30860138	
32645640	
32645641	
32418533	
31028130	
31063278	
31918239	
32738499	
31100700	1
30786918	
31049796	
31928606	
32438326	2
31277332	
30696913	
30467210	
31655562	
30597324	
29947940	
32439639	4
32614114	2
31445085	
31134091	2
32693965	4
30967490	
31360754	
32319251	
30348589	
30348587	2
30348586	
31699519	
31031340	
32380437	
31140885	
30625030	
30066294	
30649037	
31096716	1
31305892	
31185372	
31185373	
32292559	
32061822	
33027244	
32436209	
32190009	
33047784	
32126512	
33553161	1
32570368	
31379879	
32540991	
33424485	
33424486	
33424480	
33424481	
33424482	
32573694	
33380155	
31696392	2
33329528	
31542612	
32535736	2
32515670	
31660380	
32114368	2
31783736	
29985730	
30711604	
31642482	
31883522	
31198690	
30508784	
31313222	
31791380	
32602573	
30650518	
31135622	
32731199	2
33340292	
31169059	3
31421627	
31421626	
31421628	
32290045	
31450521	
32814050	
32744073	
31343952	
31343953	1
31824409	
32646493	
31823849	
31727728	
32212728	
31505544	
32355314	
31944872	
30909326	
33239445	
33302607	
32892170	
31373536	
32799115	
33109856	
32507036	
32328834	
30773481	
30411211	
31833798	
30878208	
33519699	1
31446243	
31064978	
32126896	
32157624	
30882531	
32192920	2
32932824	
30741108	
31266231	
30741103	
31707217	
31839238	
31163089	
30291467	2
31535270	2
32753601	
31156539	
31156532	
29462665	
33361268	
33186783	
32399204	
31702954	
30828772	
31689498	
32524994	
31248453	
29384043	
31449293	
31734524	3
31734527	
32726594	
32992918	
31317829	
31317828	
33080806	2
33102110	1
29421990	
30666652	
33456338	
33329728	
30696113	
31733530	
33117168	
32506391	3
31251938	1
30351211	5
31304895	
31523358	
31431000	
31523357	
33106318	
31362762	
31499318	
32487161	
33236917	
33403021	
31853829	
31367683	
32079601	
31260944	
